seed,participation_rate,avg_purchases_per_buyer,total_revenue,total_inventory_remaining,n_blocked_by_utility,n_blocked_by_budget,n_blocked_by_inventory,Poor_participation_rate,Poor_to_Slow_share,Poor_to_Shigh_share,Poor_blocked_by_budget_at_Slow,Poor_blocked_by_budget_at_Shigh,Middle_participation_rate,Middle_to_Slow_share,Middle_to_Shigh_share,Middle_blocked_by_budget_at_Slow,Middle_blocked_by_budget_at_Shigh,Rich_participation_rate,Rich_to_Slow_share,Rich_to_Shigh_share,Rich_blocked_by_budget_at_Slow,Rich_blocked_by_budget_at_Shigh
10,0.84,0.97,242.0,433,141,262,0,0.8,1.0,0.0,82,140,0.9,0.7272727272727273,0.2727272727272727,15,19,1.0,0.6842105263157895,0.3157894736842105,1,5
11,0.84,1.01,250.0,429,146,253,0,0.8142857142857143,1.0,0.0,76,140,0.9,0.7777777777777778,0.2222222222222222,11,22,0.9,0.6470588235294118,0.35294117647058826,0,4
12,0.84,1.03,254.0,427,147,250,0,0.8571428571428571,1.0,0.0,78,140,0.8,0.72,0.28,12,18,0.8,0.7222222222222222,0.2777777777777778,0,2
13,0.83,0.98,236.0,432,158,244,0,0.8428571428571429,1.0,0.0,75,140,0.7,0.7777777777777778,0.2222222222222222,6,18,1.0,0.7142857142857143,0.2857142857142857,1,4
14,0.85,1.05,262.0,425,131,264,0,0.8142857142857143,1.0,0.0,75,140,0.95,0.7741935483870968,0.22580645161290322,18,27,0.9,0.6470588235294118,0.35294117647058826,0,4
15,0.83,1.0,236.0,430,146,254,0,0.7571428571428571,1.0,0.0,78,140,1.0,0.8571428571428571,0.14285714285714285,9,24,1.0,0.7368421052631579,0.2631578947368421,0,3
16,0.8,0.99,254.0,431,138,263,0,0.7428571428571429,1.0,0.0,83,140,0.9,0.6538461538461539,0.34615384615384615,20,17,1.0,0.7619047619047619,0.23809523809523808,1,2
17,0.86,1.04,264.0,426,135,261,0,0.8285714285714286,1.0,0.0,70,140,0.95,0.72,0.28,17,23,0.9,0.6666666666666666,0.3333333333333333,4,7
18,0.8,0.97,238.0,433,142,261,0,0.7714285714285715,1.0,0.0,79,140,0.8,0.7619047619047619,0.23809523809523808,13,22,1.0,0.7272727272727273,0.2727272727272727,1,6
19,0.85,1.06,248.0,424,136,258,0,0.7857142857142857,1.0,0.0,72,140,1.0,0.8275862068965517,0.1724137931034483,14,30,1.0,0.8181818181818182,0.18181818181818182,0,2
20,0.8,1.0,260.0,430,142,258,0,0.7428571428571429,1.0,0.0,73,140,0.9,0.72,0.28,17,20,1.0,0.6521739130434783,0.34782608695652173,1,7
21,0.82,0.96,236.0,434,146,258,0,0.7857142857142857,1.0,0.0,79,140,0.9,0.782608695652174,0.21739130434782608,13,19,0.9,0.6666666666666666,0.3333333333333333,1,6
22,0.84,0.99,250.0,431,153,248,0,0.8,1.0,0.0,74,140,0.95,0.75,0.25,10,18,0.9,0.631578947368421,0.3684210526315789,0,6
23,0.89,1.1,268.0,420,124,266,0,0.8714285714285714,1.0,0.0,88,140,0.9,0.8214285714285714,0.17857142857142858,14,20,1.0,0.6666666666666666,0.3333333333333333,1,3
24,0.87,1.04,268.0,426,139,257,0,0.8571428571428571,1.0,0.0,77,140,0.9,0.6666666666666666,0.3333333333333333,17,19,0.9,0.65,0.35,1,3
25,0.85,1.01,242.0,429,146,253,0,0.8142857142857143,1.0,0.0,79,140,0.9,0.8076923076923077,0.19230769230769232,8,21,1.0,0.7222222222222222,0.2777777777777778,1,4
26,0.8,1.03,242.0,427,155,242,0,0.7428571428571429,1.0,0.0,65,140,0.9,0.8709677419354839,0.12903225806451613,7,26,1.0,0.75,0.25,1,3
27,0.83,1.0,256.0,430,127,273,0,0.7571428571428571,1.0,0.0,81,140,1.0,0.5833333333333334,0.4166666666666667,24,23,1.0,0.8260869565217391,0.17391304347826086,2,3
28,0.82,0.99,242.0,431,134,267,0,0.8,1.0,0.0,85,140,0.85,0.7307692307692307,0.2692307692307692,18,20,0.9,0.7647058823529411,0.23529411764705882,0,4
29,0.87,1.05,258.0,425,138,257,0,0.8142857142857143,1.0,0.0,79,140,1.0,0.8571428571428571,0.14285714285714285,8,25,1.0,0.6,0.4,0,5
