seed,week_number,attendance_rate,purchase_rate,buyer_seller_pair_stability,mean_loyalty_streak,total_revenue,promotion_seller_id,Poor_to_Slow_share,Poor_to_Shigh_share,Middle_to_Slow_share,Middle_to_Shigh_share,Rich_to_Slow_share,Rich_to_Shigh_share
19,4,0.82,0.58,0.2571428571428571,1.3103448275862069,168.0,-1,1.0,0.0,0.9642857142857143,0.03571428571428571,0.8571428571428571,0.14285714285714285
19,5,0.83,0.58,0.18181818181818182,1.4655172413793103,178.0,-1,1.0,0.0,0.8,0.2,0.5384615384615384,0.46153846153846156
19,6,0.83,0.59,0.2894736842105263,1.5423728813559323,170.0,-1,1.0,0.0,0.75,0.25,0.7142857142857143,0.2857142857142857
19,7,0.77,0.58,0.35294117647058826,1.5517241379310345,196.0,-1,1.0,0.0,0.75,0.25,0.5789473684210527,0.42105263157894735
19,8,0.89,0.67,0.25,1.4477611940298507,208.0,-1,1.0,0.0,0.75,0.25,0.75,0.25
19,9,0.79,0.61,0.27906976744186046,1.3934426229508197,170.2,0,1.0,0.0,0.8125,0.1875,0.7058823529411765,0.29411764705882354
19,10,0.85,0.64,0.3409090909090909,1.546875,192.0,-1,1.0,0.0,0.7727272727272727,0.22727272727272727,0.6153846153846154,0.38461538461538464
19,11,0.82,0.63,0.19047619047619047,1.3333333333333333,190.0,-1,1.0,0.0,0.6,0.4,0.8823529411764706,0.11764705882352941
19,12,0.85,0.62,0.35,1.6451612903225807,168.0,-1,1.0,0.0,0.7368421052631579,0.2631578947368421,0.8333333333333334,0.16666666666666666
19,13,0.86,0.67,0.4186046511627907,1.7611940298507462,180.0,-1,1.0,0.0,0.8421052631578947,0.15789473684210525,0.7857142857142857,0.21428571428571427
19,14,0.88,0.72,0.3877551020408163,1.8055555555555556,192.0,-1,1.0,0.0,0.8260869565217391,0.17391304347826086,0.7272727272727273,0.2727272727272727
19,15,0.93,0.75,0.2857142857142857,1.52,216.0,-1,1.0,0.0,0.7272727272727273,0.2727272727272727,0.7058823529411765,0.29411764705882354
19,16,0.88,0.71,0.2,1.4788732394366197,212.0,-1,1.0,0.0,0.6470588235294118,0.35294117647058826,0.75,0.25
19,17,0.85,0.67,0.27450980392156865,1.5820895522388059,186.79999999999998,0,1.0,0.0,0.7,0.3,0.7777777777777778,0.2222222222222222
19,18,0.83,0.68,0.3191489361702128,1.5441176470588236,194.0,-1,1.0,0.0,0.8421052631578947,0.15789473684210525,0.7368421052631579,0.2631578947368421
19,19,0.95,0.69,0.24,1.536231884057971,210.79999999999998,2,1.0,0.0,0.75,0.25,0.782608695652174,0.21739130434782608
19,20,0.87,0.69,0.14893617021276595,1.3623188405797102,191.2,0,1.0,0.0,0.6111111111111112,0.3888888888888889,0.6875,0.3125
19,21,0.84,0.7,0.3137254901960784,1.6142857142857143,169.39999999999998,1,1.0,0.0,0.7058823529411765,0.29411764705882354,0.7272727272727273,0.2727272727272727
20,0,0.85,0.67,,1.0,198.0,-1,1.0,0.0,0.7142857142857143,0.2857142857142857,0.8125,0.1875
20,1,0.82,0.62,0.37209302325581395,1.2580645161290323,162.0,-1,1.0,0.0,0.9473684210526315,0.05263157894736842,0.8461538461538461,0.15384615384615385
20,2,0.77,0.53,0.3125,1.2830188679245282,174.2,3,1.0,0.0,0.6842105263157895,0.3157894736842105,0.631578947368421,0.3684210526315789
20,3,0.81,0.59,0.3225806451612903,1.3898305084745763,172.0,-1,1.0,0.0,0.7727272727272727,0.22727272727272727,0.5555555555555556,0.4444444444444444
20,4,0.78,0.58,0.25806451612903225,1.3793103448275863,168.0,-1,1.0,0.0,0.8695652173913043,0.13043478260869565,0.7,0.3
20,5,0.84,0.56,0.43333333333333335,1.5535714285714286,178.0,-1,1.0,0.0,0.8421052631578947,0.15789473684210525,0.7,0.3
20,6,0.9,0.64,0.19444444444444445,1.390625,194.0,-1,1.0,0.0,0.75,0.25,0.7894736842105263,0.21052631578947367
20,7,0.81,0.65,0.4,1.5538461538461539,178.0,-1,1.0,0.0,0.875,0.125,0.6666666666666666,0.3333333333333333
20,8,0.87,0.68,0.30434782608695654,1.4852941176470589,214.0,-1,1.0,0.0,0.8571428571428571,0.14285714285714285,0.55,0.45
20,9,0.83,0.68,0.32608695652173914,1.4852941176470589,192.0,-1,1.0,0.0,0.7368421052631579,0.2631578947368421,0.5833333333333334,0.4166666666666667
20,10,0.84,0.69,0.30612244897959184,1.4202898550724639,206.0,3,1.0,0.0,0.5555555555555556,0.4444444444444444,0.8333333333333334,0.16666666666666666
20,11,0.84,0.65,0.29545454545454547,1.3692307692307693,184.0,-1,1.0,0.0,0.8636363636363636,0.13636363636363635,0.7333333333333333,0.26666666666666666
20,12,0.79,0.65,0.4318181818181818,1.523076923076923,189.2,2,1.0,0.0,0.5555555555555556,0.4444444444444444,0.6666666666666666,0.3333333333333333
20,13,0.86,0.67,0.35555555555555557,1.507462686567164,178.0,-1,1.0,0.0,0.8235294117647058,0.17647058823529413,0.6923076923076923,0.3076923076923077
20,14,0.83,0.64,0.2558139534883721,1.4375,216.0,-1,1.0,0.0,0.7222222222222222,0.2777777777777778,0.6190476190476191,0.38095238095238093
20,15,0.85,0.58,0.2894736842105263,1.3103448275862069,180.0,-1,1.0,0.0,0.5714285714285714,0.42857142857142855,0.6,0.4
20,16,0.82,0.66,0.2631578947368421,1.4242424242424243,196.0,3,1.0,0.0,0.68,0.32,0.6153846153846154,0.38461538461538464
20,17,0.84,0.64,0.2682926829268293,1.453125,178.0,-1,1.0,0.0,0.92,0.08,0.7857142857142857,0.21428571428571427
20,18,0.81,0.57,0.3783783783783784,1.6491228070175439,170.0,-1,1.0,0.0,0.8421052631578947,0.15789473684210525,0.8235294117647058,0.17647058823529413
20,19,0.82,0.61,0.3157894736842105,1.4754098360655739,153.79999999999998,1,1.0,0.0,0.8235294117647058,0.17647058823529413,0.6,0.4
20,20,0.88,0.7,0.32558139534883723,1.5,204.0,-1,1.0,0.0,0.7916666666666666,0.20833333333333334,0.7142857142857143,0.2857142857142857
20,21,0.85,0.6,0.2558139534883721,1.45,170.0,-1,1.0,0.0,0.8571428571428571,0.14285714285714285,0.7142857142857143,0.2857142857142857
21,0,0.84,0.65,,1.0,196.0,-1,1.0,0.0,0.7619047619047619,0.23809523809523808,0.75,0.25
21,1,0.8,0.57,0.3157894736842105,1.2105263157894737,150.0,-1,1.0,0.0,0.6666666666666666,0.3333333333333333,0.5,0.5
21,2,0.82,0.62,0.35294117647058826,1.3709677419354838,176.0,-1,1.0,0.0,0.7894736842105263,0.21052631578947367,0.7333333333333333,0.26666666666666666
21,3,0.89,0.64,0.275,1.46875,204.0,-1,1.0,0.0,0.6190476190476191,0.38095238095238093,0.6153846153846154,0.38461538461538464
21,4,0.82,0.65,0.3333333333333333,1.5076923076923077,190.0,-1,1.0,0.0,0.85,0.15,0.5384615384615384,0.46153846153846156
