seed,seller_id,seller_class,n_sold,revenue,inventory_remaining,position_score,visibility_prob,visibility_rate
0,2,Slow,22,52.79999999999998,108,0.3,0.65,0.58
0,3,Shigh,8,48.0,62,0.8,0.9,0.76
0,4,Shigh,2,13.200000000000001,68,0.3,0.65,0.53
0,0,Slow,30,66.00000000000003,100,0.9,0.95,0.78
0,1,Slow,29,58.0,101,0.9,0.95,0.81
0,2,Slow,13,31.199999999999992,117,0.3,0.65,0.54
0,3,Shigh,7,42.0,63,0.8,0.9,0.78
0,4,Shigh,5,33.0,65,0.3,0.65,0.45
0,0,Slow,26,62.39999999999998,104,0.9,0.95,0.78
0,1,Slow,28,56.0,102,0.9,0.95,0.76
0,2,Slow,19,45.59999999999999,111,0.3,0.65,0.53
0,3,Shigh,5,30.0,65,0.8,0.9,0.72
0,4,Shigh,2,13.200000000000001,68,0.3,0.65,0.59
0,0,Slow,21,50.399999999999984,109,0.9,0.95,0.79
0,1,Slow,28,61.60000000000003,102,0.9,0.95,0.82
0,2,Slow,18,43.19999999999999,112,0.3,0.65,0.55
0,3,Shigh,5,30.0,65,0.8,0.9,0.77
0,4,Shigh,2,13.200000000000001,68,0.3,0.65,0.52
0,0,Slow,24,57.59999999999998,106,0.9,0.95,0.78
0,1,Slow,34,74.80000000000004,96,0.9,0.95,0.8
0,2,Slow,18,43.19999999999999,112,0.3,0.65,0.6
0,3,Shigh,8,48.0,62,0.8,0.9,0.75
0,4,Shigh,1,6.6000000000000005,69,0.3,0.65,0.57
0,0,Slow,20,47.999999999999986,110,0.9,0.95,0.7
0,1,Slow,27,59.40000000000003,103,0.9,0.95,0.74
0,2,Slow,20,47.999999999999986,110,0.3,0.65,0.55
0,3,Shigh,8,48.0,62,0.8,0.9,0.72
0,4,Shigh,3,19.8,67,0.3,0.65,0.49
0,0,Slow,30,72.0,100,0.9,0.95,0.81
0,1,Slow,26,57.200000000000024,104,0.9,0.95,0.83
0,2,Slow,16,38.39999999999999,114,0.3,0.65,0.64
0,3,Shigh,5,30.0,65,0.8,0.9,0.83
0,4,Shigh,8,36.96,62,0.3,0.65,0.56
0,0,Slow,27,64.79999999999998,103,0.9,0.95,0.75
0,1,Slow,26,46.79999999999998,104,0.9,0.95,0.77
0,2,Slow,17,40.79999999999999,113,0.3,0.65,0.59
0,3,Shigh,4,24.0,66,0.8,0.9,0.73
0,4,Shigh,2,13.200000000000001,68,0.3,0.65,0.55
0,0,Slow,24,57.59999999999998,106,0.9,0.95,0.8
0,1,Slow,29,63.80000000000003,101,0.9,0.95,0.78
0,2,Slow,16,38.39999999999999,114,0.3,0.65,0.5
0,3,Shigh,13,54.60000000000001,57,0.8,0.9,0.73
0,4,Shigh,2,13.200000000000001,68,0.3,0.65,0.55
0,0,Slow,31,74.4,99,0.9,0.95,0.79
0,1,Slow,26,40.039999999999985,104,0.9,0.95,0.79
0,2,Slow,14,33.599999999999994,116,0.3,0.65,0.51
0,3,Shigh,7,42.0,63,0.8,0.9,0.77
0,4,Shigh,2,13.200000000000001,68,0.3,0.65,0.54
0,0,Slow,27,64.79999999999998,103,0.9,0.95,0.78
0,1,Slow,23,50.600000000000016,107,0.9,0.95,0.76
0,2,Slow,18,43.19999999999999,112,0.3,0.65,0.5
