seed,week_number,attendance_rate,purchase_rate,buyer_seller_pair_stability,mean_loyalty_streak,total_revenue,promotion_seller_id,Poor_to_Slow_share,Poor_to_Shigh_share,Middle_to_Slow_share,Middle_to_Shigh_share,Rich_to_Slow_share,Rich_to_Shigh_share
23,44,0.85,0.65,0.3148148148148148,1.7692307692307692,203.39999999999995,-1,1.0,0.0,0.7222222222222222,0.2777777777777778,0.6666666666666666,0.3333333333333333
23,45,0.82,0.58,0.34146341463414637,1.8275862068965518,213.95999999999998,4,1.0,0.0,0.75,0.25,0.7222222222222222,0.2777777777777778
23,46,0.84,0.72,0.45454545454545453,1.9861111111111112,229.31999999999996,3,1.0,0.0,0.8333333333333334,0.16666666666666666,0.7777777777777778,0.2222222222222222
23,47,0.82,0.7,0.4444444444444444,1.7428571428571429,227.39999999999998,-1,1.0,0.0,0.6666666666666666,0.3333333333333333,0.6428571428571429,0.35714285714285715
23,48,0.84,0.65,0.4186046511627907,1.8461538461538463,217.19999999999996,-1,1.0,0.0,0.8095238095238095,0.19047619047619047,0.6428571428571429,0.35714285714285715
23,49,0.81,0.63,0.4523809523809524,2.0952380952380953,194.4,-1,1.0,0.0,0.8235294117647058,0.17647058823529413,0.5714285714285714,0.42857142857142855
23,50,0.86,0.7,0.4186046511627907,1.8285714285714285,232.79999999999998,-1,1.0,0.0,0.8,0.2,0.8,0.2
23,51,0.81,0.67,0.5106382978723404,1.9104477611940298,202.19999999999996,-1,1.0,0.0,0.84,0.16,0.6363636363636364,0.36363636363636365
23,52,0.77,0.66,0.391304347826087,1.803030303030303,206.99999999999994,-1,1.0,0.0,0.6842105263157895,0.3157894736842105,0.5,0.5
23,53,0.82,0.64,0.4146341463414634,1.90625,208.79999999999995,-1,1.0,0.0,0.5333333333333333,0.4666666666666667,0.6363636363636364,0.36363636363636365
23,54,0.86,0.68,0.4888888888888889,1.7352941176470589,210.59999999999997,-1,1.0,0.0,0.8571428571428571,0.14285714285714285,0.9285714285714286,0.07142857142857142
23,55,0.85,0.71,0.4489795918367347,1.7746478873239437,229.2,-1,1.0,0.0,0.8095238095238095,0.19047619047619047,0.6923076923076923,0.3076923076923077
23,56,0.83,0.73,0.4716981132075472,1.9589041095890412,234.00000000000003,-1,1.0,0.0,0.7916666666666666,0.20833333333333334,0.5555555555555556,0.4444444444444444
23,57,0.78,0.63,0.42857142857142855,2.0793650793650795,195.11999999999998,0,1.0,0.0,0.8695652173913043,0.13043478260869565,0.8125,0.1875
23,58,0.88,0.78,0.39215686274509803,1.8717948717948718,237.6,-1,1.0,0.0,0.88,0.12,0.8,0.2
23,59,0.76,0.61,0.5306122448979592,2.0655737704918034,172.39999999999998,-1,1.0,0.0,0.8823529411764706,0.11764705882352941,1.0,0.0
23,60,0.93,0.76,0.4444444444444444,1.9473684210526316,243.59999999999997,-1,1.0,0.0,0.8181818181818182,0.18181818181818182,0.7647058823529411,0.23529411764705882
23,61,0.86,0.72,0.42592592592592593,1.75,237.0,-1,1.0,0.0,0.7916666666666666,0.20833333333333334,0.6923076923076923,0.3076923076923077
23,62,0.88,0.72,0.36363636363636365,2.0277777777777777,241.79999999999995,-1,1.0,0.0,0.5555555555555556,0.4444444444444444,0.5384615384615384,0.46153846153846156
23,63,0.82,0.68,0.5,2.2941176470588234,230.99999999999994,-1,1.0,0.0,0.5714285714285714,0.42857142857142855,0.5,0.5
23,64,0.84,0.73,0.32653061224489793,1.7123287671232876,207.47999999999996,0,1.0,0.0,0.8181818181818182,0.18181818181818182,0.6666666666666666,0.3333333333333333
23,65,0.91,0.8,0.4482758620689655,1.85,240.8,-1,1.0,0.0,0.8,0.2,0.75,0.25
24,0,0.83,0.58,,1.0,161.60000000000005,-1,1.0,0.0,0.7916666666666666,0.20833333333333334,0.6111111111111112,0.3888888888888889
24,1,0.87,0.67,0.4473684210526316,1.2537313432835822,180.53999999999996,2,1.0,0.0,0.8,0.2,0.631578947368421,0.3684210526315789
24,2,0.86,0.67,0.4117647058823529,1.4328358208955223,194.0,-1,1.0,0.0,0.75,0.25,0.7333333333333333,0.26666666666666666
24,3,0.82,0.64,0.2978723404255319,1.546875,193.60000000000005,-1,1.0,0.0,0.7894736842105263,0.21052631578947367,0.7692307692307693,0.23076923076923078
24,4,0.87,0.68,0.4318181818181818,1.7352941176470589,203.99999999999997,-1,1.0,0.0,1.0,0.0,0.7142857142857143,0.2857142857142857
24,5,0.85,0.67,0.38636363636363635,1.5820895522388059,194.40000000000003,-1,1.0,0.0,0.8888888888888888,0.1111111111111111,0.75,0.25
24,6,0.83,0.65,0.45454545454545453,1.6153846153846154,208.19999999999996,-1,1.0,0.0,0.9130434782608695,0.08695652173913043,0.6666666666666666,0.3333333333333333
24,7,0.79,0.6,0.425,1.7833333333333334,197.39999999999995,-1,1.0,0.0,0.8888888888888888,0.1111111111111111,0.6666666666666666,0.3333333333333333
24,8,0.81,0.59,0.34210526315789475,1.728813559322034,196.79999999999995,-1,1.0,0.0,0.8947368421052632,0.10526315789473684,0.75,0.25
24,9,0.82,0.73,0.425,1.9315068493150684,224.60000000000005,-1,1.0,0.0,0.8928571428571429,0.10714285714285714,0.75,0.25
24,10,0.83,0.7,0.3877551020408163,1.9142857142857144,218.39999999999995,-1,1.0,0.0,0.42857142857142855,0.5714285714285714,0.8181818181818182,0.18181818181818182
