seed,buyer_id,buyer_class,n_purchases,total_spent,budget_remaining
18,82,Middle,1,2.0,3.205311971273418
18,83,Middle,2,6.18,0.3702335909307477
18,84,Middle,2,4.4,2.472284333382147
18,85,Middle,0,0.0,6.335743307636367
18,86,Middle,2,4.4,3.727365806639586
18,87,Middle,1,2.0,3.805340252699862
18,88,Middle,2,4.8,2.865908670567413
18,89,Middle,1,3.78,4.620190994278008
18,90,Rich,1,2.4,7.300282929793116
18,91,Rich,3,8.18,2.3423899822417247
18,92,Rich,2,7.4,0.8031502967830573
18,93,Rich,1,2.4,8.414705278349864
18,94,Rich,2,7.4,3.073669839982232
18,95,Rich,3,6.8,4.1849581102098306
18,96,Rich,2,4.4,6.04356929132036
18,97,Rich,0,0.0,13.455366489407961
18,98,Rich,0,0.0,10.564759855021089
18,99,Rich,0,0.0,8.2474709303569
18,0,Poor,0,0.0,2.8763116540436746
18,1,Poor,0,0.0,3.148865312038123
18,2,Poor,1,2.4,0.9309381236358889
18,3,Poor,1,2.4,0.7872886003248825
18,4,Poor,0,0.0,3.053796013955225
18,5,Poor,1,2.0,0.6742674930234442
18,6,Poor,1,2.4,1.2399649331569869
18,7,Poor,0,0.0,3.966088811327094
18,8,Poor,0,0.0,2.9983737839391256
18,9,Poor,0,0.0,3.0240048755282314
18,10,Poor,1,2.4,0.8419937655989664
18,11,Poor,0,0.0,3.5057156224304613
18,12,Poor,0,0.0,2.5379733183816495
18,13,Poor,1,2.0,1.3862899853561887
18,14,Poor,0,0.0,2.653356718838482
18,15,Poor,0,0.0,3.3542794105350744
18,16,Poor,1,2.0,1.1893981674439984
18,17,Poor,1,2.4,0.9899938187990851
18,18,Poor,0,0.0,3.711668376936483
18,19,Poor,1,2.0,0.9339078393662246
18,20,Poor,1,2.4,0.8270373512845928
18,21,Poor,1,2.4,0.6776969314181791
18,22,Poor,1,2.0,1.1140261915621927
18,23,Poor,1,2.0,1.5021916901783627
18,24,Poor,1,2.4,1.349033743743845
18,25,Poor,0,0.0,2.8248153764569017
18,26,Poor,1,2.4,0.057525292959411445
18,27,Poor,1,2.0,1.284566399287486
18,28,Poor,0,0.0,2.688458761230625
18,29,Poor,1,2.0,0.5260560191619019
18,30,Poor,1,2.0,0.7630107157360806
18,31,Poor,1,2.0,1.1720741831142738
18,32,Poor,1,2.4,0.8889154407642614
18,33,Poor,0,0.0,3.2016277512171314
18,34,Poor,0,0.0,2.514542250722687
18,35,Poor,1,2.0,1.3482044662852468
18,36,Poor,1,2.0,0.7719061147507138
18,37,Poor,1,2.4,1.0301989266197866
18,38,Poor,1,2.4,0.0761013902209462
18,39,Poor,1,2.4,0.42803129914041094
18,40,Poor,1,2.4,0.32952596430610326
18,41,Poor,0,0.0,3.512007697158392
18,42,Poor,0,0.0,3.2429974096167435
18,43,Poor,1,2.0,1.502749323246766
18,44,Poor,0,0.0,2.899756275161626
18,45,Poor,1,2.0,1.0281273705970215
18,46,Poor,0,0.0,3.0888548434550414
18,47,Poor,0,0.0,2.1230903588284136
18,48,Poor,0,0.0,3.6692367755188076
18,49,Poor,1,2.4,1.3731523012913907
18,50,Poor,1,2.4,1.313015652076344
18,51,Poor,1,2.4,0.11530053467868884
18,52,Poor,0,0.0,2.9841050681047223
18,53,Poor,0,0.0,3.091138507627515
18,54,Poor,1,2.0,0.800551348541926
18,55,Poor,0,0.0,3.1823678697518387
18,56,Poor,1,2.0,0.9793231058011682
18,57,Poor,0,0.0,2.7424671276282258
18,58,Poor,0,0.0,3.026130370909981
18,59,Poor,1,2.0,1.200071073749363
18,60,Poor,1,2.0,1.013862170897474
18,61,Poor,1,2.4,0.11880840791421843
18,62,Poor,0,0.0,3.2775248179517753
18,63,Poor,0,0.0,2.5219442531945178
18,64,Poor,0,0.0,2.2556925106765293
18,65,Poor,0,0.0,2.9510046272216646
18,66,Poor,1,2.0,1.6866896251846346
18,67,Poor,0,0.0,2.5599296931076965
18,68,Poor,0,0.0,3.2361602466536867
18,69,Poor,0,0.0,2.4877817465356444
18,70,Middle,1,2.4,4.088895146869913
18,71,Middle,1,6.0,1.1632934572595772
18,72,Middle,2,4.4,3.368968560472012
18,73,Middle,0,0.0,7.450233380174315
18,74,Middle,2,4.8,2.45296670933114
18,75,Middle,0,0.0,5.856561551923653
18,76,Middle,1,2.0,5.17693007156897
18,77,Middle,1,2.0,3.461277511371745
