week,counter (7a-7d) median,"delta=0, L*=1 median","delta=0.25, L*=1 median","delta=0.5, L*=1 median","delta=1, L*=1 median","delta=0, L*=1.25 median","delta=0.25, L*=1.25 median","delta=0.5, L*=1.25 median","delta=1, L*=1.25 median",counter (7a-7d) IQR,"delta=0, L*=1 IQR","delta=0.25, L*=1 IQR","delta=0.5, L*=1 IQR","delta=1, L*=1 IQR","delta=0, L*=1.25 IQR","delta=0.25, L*=1.25 IQR","delta=0.5, L*=1.25 IQR","delta=1, L*=1.25 IQR"
17,0.0,0.49835169315338135,0.5114560127258301,0.5159801244735718,0.5221093595027924,0.3865468502044678,0.39489099383354187,0.3975839912891388,0.40481817722320557,0.5,0.4712941199541092,0.4764704331755638,0.48284703493118286,0.5006054937839508,0.38728007674217224,0.39415934681892395,0.39741623401641846,0.4075916074216366
18,0.0,0.4976015090942383,0.5065921545028687,0.5094967484474182,0.521540492773056,0.3846896290779114,0.3891364634037018,0.393743097782135,0.40234535932540894,0.5,0.4843027740716934,0.4917900487780571,0.5021136701107025,0.5136570781469345,0.40170175954699516,0.4069831371307373,0.4143858626484871,0.42301779985427856
19,0.0,0.5147030651569366,0.5214887857437134,0.5272082686424255,0.5386312305927277,0.3976021707057953,0.40615417063236237,0.41281963884830475,0.42151063680648804,0.5,0.47630419582128525,0.48049798607826233,0.49148786067962646,0.5066355317831039,0.37800583243370056,0.39023519307374954,0.4001116193830967,0.41010092198848724
20,0.0,0.5041619539260864,0.5119898915290833,0.5203054547309875,0.5340027809143066,0.3844890892505646,0.3915587365627289,0.4013652205467224,0.4045073091983795,0.5,0.47240230441093445,0.47957052290439606,0.49056024849414825,0.5147328078746796,0.3913962244987488,0.3976731300354004,0.4051690995693207,0.41605376452207565
21,0.0,0.5113281607627869,0.5204188227653503,0.5283446311950684,0.5401227474212646,0.393228679895401,0.40119440853595734,0.40653061866760254,0.4160158038139343,0.5,0.4911096468567848,0.5001077353954315,0.5086098611354828,0.5273428112268448,0.39452090859413147,0.4038732275366783,0.4174007773399353,0.4315485805273056
22,0.0,0.5109239816665649,0.524394154548645,0.5312095880508423,0.5436862707138062,0.4045284688472748,0.4134708344936371,0.41744980216026306,0.4268704950809479,0.5,0.47632309794425964,0.4837970733642578,0.5026560425758362,0.5226199924945831,0.3888877034187317,0.3993246480822563,0.41197681427001953,0.4303012490272522
23,0.0,0.5227318108081818,0.5334055423736572,0.5427026748657227,0.5541168451309204,0.4000034034252167,0.4122088849544525,0.4198705404996872,0.42732876539230347,0.5,0.4704316705465317,0.4825069159269333,0.4941680282354355,0.5291907265782356,0.38323476910591125,0.39536217227578163,0.4129437431693077,0.42954762279987335
24,0.0,0.5130626857280731,0.5228310227394104,0.5305891036987305,0.545965313911438,0.3999923765659332,0.40858080983161926,0.41655170917510986,0.4253598153591156,0.5,0.49178624153137207,0.493910551071167,0.5026086643338203,0.5238330960273743,0.40296216309070587,0.4148835986852646,0.41969796270132065,0.44446103274822235
25,0.0,0.5158128142356873,0.5287688374519348,0.5369022488594055,0.5478501319885254,0.39941853284835815,0.4094211906194687,0.41303253173828125,0.42358070611953735,0.5,0.447147935628891,0.45174074172973633,0.4550773799419403,0.477450929582119,0.37154246866703033,0.37397074699401855,0.37644342333078384,0.3969103917479515
26,0.0,0.5276603996753693,0.5375422835350037,0.5483804643154144,0.5690313577651978,0.4113074839115143,0.41845816373825073,0.423767551779747,0.43433795869350433,0.5,0.4715942442417145,0.4729003608226776,0.48910897970199585,0.4993004724383354,0.3827355206012726,0.3842252045869827,0.3959711380302906,0.40928296744823456
27,0.0,0.49835336208343506,0.5033950209617615,0.5115863680839539,0.5254806876182556,0.39126309752464294,0.3987869322299957,0.4070795774459839,0.4164247661828995,0.5,0.48096922039985657,0.48134559392929077,0.4908273220062256,0.5131090730428696,0.3929394409060478,0.39640993624925613,0.4022629112005234,0.41942567005753517
28,0.0,0.5197435617446899,0.5268315076828003,0.5319228768348694,0.5436179637908936,0.4121415615081787,0.4181129038333893,0.42666614055633545,0.4306417405605316,0.5,0.4546329379081726,0.45884963870048523,0.4725205674767494,0.4915994554758072,0.3833576589822769,0.3857472129166126,0.3884773328900337,0.40736164152622223
29,0.0,0.5273627042770386,0.5369889438152313,0.5444595813751221,0.5541934370994568,0.4054596573114395,0.412166565656662,0.4194537401199341,0.43280914425849915,0.5,0.4684230089187622,0.46994803100824356,0.47676509618759155,0.4920138120651245,0.38782959431409836,0.39288555458188057,0.39831866323947906,0.40658877044916153
30,0.0,0.5192956328392029,0.5284786224365234,0.5342469215393066,0.5516237020492554,0.3985353708267212,0.4038258194923401,0.41376015543937683,0.42248982191085815,0.5,0.47511544823646545,0.48981761932373047,0.5045333206653595,0.517502173781395,0.3927411288022995,0.4023415595293045,0.4068351462483406,0.4267288148403168
31,0.0,0.5081644058227539,0.5111487507820129,0.5210109055042267,0.5294165313243866,0.3935637027025223,0.4009154438972473,0.4076143652200699,0.4143339991569519,0.5,0.47881045937538147,0.48025935888290405,0.4865459278225899,0.49539554864168167,0.38363637402653694,0.38330185413360596,0.39619097858667374,0.41651351377367973
32,0.0,0.5181481242179871,0.5270464420318604,0.5377727746963501,0.5438450574874878,0.4004996418952942,0.40677058696746826,0.4148830771446228,0.4225511848926544,0.5,0.47404444217681885,0.47786977887153625,0.4840334504842758,0.4984925910830498,0.3894994780421257,0.3913538455963135,0.39861271530389786,0.4162544384598732
33,0.0,0.5186127126216888,0.52803635597229,0.5363391041755676,0.5467518270015717,0.39808183908462524,0.4037989675998688,0.41060398519039154,0.4222712218761444,0.5,0.4870569780468941,0.49428775906562805,0.4973439425230026,0.5150244235992432,0.39477353543043137,0.39790647476911545,0.4075661934912205,0.42892494052648544
34,0.0,0.5160895586013794,0.5244435966014862,0.5280062854290009,0.5421468615531921,0.4037638008594513,0.40949514508247375,0.4186118543148041,0.4275282621383667,0.5,0.46555081009864807,0.47449003905057907,0.4819961041212082,0.5075410902500153,0.39013567194342613,0.3905748873949051,0.39828257262706757,0.41301749646663666
35,0.0,0.5107122659683228,0.5198265314102173,0.5254738330841064,0.5391060709953308,0.3987795412540436,0.4062322676181793,0.41014739871025085,0.41742366552352905,0.5,0.4700329601764679,0.4813007563352585,0.4824516773223877,0.4946417659521103,0.3874881863594055,0.3919324204325676,0.39548926800489426,0.40996153652668
36,0.0,0.5299360752105713,0.5325662195682526,0.543192595243454,0.5535418093204498,0.4144417643547058,0.4199417978525162,0.42372965812683105,0.4331660568714142,0.5,0.4733099862933159,0.47731488198041916,0.48967743664979935,0.5019427537918091,0.38730624318122864,0.3913734741508961,0.39644019305706024,0.41195255517959595
37,0.0,0.5289921760559082,0.541782796382904,0.5480073690414429,0.5604329705238342,0.40874090790748596,0.417325034737587,0.42558251321315765,0.4384477734565735,0.5,0.5025863349437714,0.5057616084814072,0.5107001140713692,0.5269242003560066,0.40879078209400177,0.409581933170557,0.4195748083293438,0.43910466879606247
38,0.0,0.5419402122497559,0.55524080991745,0.5612278878688812,0.5692121982574463,0.42084841430187225,0.4306853413581848,0.4379045069217682,0.44392433762550354,0.5,0.4761402904987335,0.4827340990304947,0.49363691359758377,0.5026437118649483,0.39555618539452553,0.40062691271305084,0.4170198626816273,0.426360547542572
