seed,buyer_id,buyer_class,n_purchases,total_spent,budget_remaining
0,81,Middle,0,0.0,7.00142047553926
0,82,Middle,2,4.2,3.6008580495059994
0,83,Middle,0,0.0,6.717477494387878
0,84,Middle,0,0.0,6.466858950972013
0,85,Middle,2,4.2,3.175891407742918
0,86,Middle,0,0.0,5.296802880040796
0,87,Middle,2,4.2,2.0196659556789096
0,88,Middle,1,2.1,6.516710407022133
0,89,Middle,1,2.1,3.5704192050312638
0,90,Rich,0,0.0,11.478018789976838
0,91,Rich,0,0.0,9.59219892268401
0,92,Rich,2,8.4,2.8152040525895123
0,93,Rich,0,0.0,10.503521023957262
0,94,Rich,1,2.1,7.839047887991411
0,95,Rich,1,2.1,8.117960081805087
0,96,Rich,1,2.1,8.313496424219567
0,97,Rich,3,10.5,0.8422688220103018
0,98,Rich,1,2.1,5.4656532596032665
0,99,Rich,0,0.0,10.313491968365483
0,0,Poor,1,1.9949999999999999,0.860568251059932
0,1,Poor,1,1.9949999999999999,0.8852708223662409
0,2,Poor,0,0.0,3.135343130364019
0,3,Poor,1,1.9949999999999999,1.2788648916286125
0,4,Poor,0,0.0,3.2927620011803103
0,5,Poor,1,1.9949999999999999,0.9196614930741418
0,6,Poor,0,0.0,2.876395471873083
0,7,Poor,0,0.0,2.8877816124740407
0,8,Poor,1,1.9949999999999999,0.8304327877995152
0,9,Poor,1,1.9949999999999999,1.5341456301569265
0,10,Poor,0,0.0,3.222214128502703
0,11,Poor,1,1.9949999999999999,1.1236264915375724
0,12,Poor,1,2.205,0.8852764356859835
0,13,Poor,1,2.205,1.2867974768877826
0,14,Poor,0,0.0,2.670951459663922
0,15,Poor,1,2.205,0.722196380668636
0,16,Poor,1,2.205,0.6167959463502317
0,17,Poor,1,2.205,0.945836988467887
0,18,Poor,1,2.205,0.4868836992452441
0,19,Poor,1,1.9949999999999999,0.9669399760432136
0,20,Poor,1,1.9949999999999999,0.3245018956372474
0,21,Poor,1,2.205,1.112906580814676
0,22,Poor,1,1.9949999999999999,1.082269701963367
0,23,Poor,1,1.9949999999999999,0.529852761482646
0,24,Poor,0,0.0,3.048700345606631
0,25,Poor,1,1.9949999999999999,1.1410631833220808
0,26,Poor,1,2.205,0.3782380334485671
0,27,Poor,1,1.9949999999999999,0.9961015008437599
0,28,Poor,0,0.0,2.945725289242497
0,29,Poor,1,2.205,0.09178164487699014
0,30,Poor,0,0.0,4.151558442737377
0,31,Poor,1,2.205,0.6209551293946993
0,32,Poor,1,1.9949999999999999,0.7556756402407487
0,33,Poor,1,1.9949999999999999,1.732962172360225
0,34,Poor,1,1.9949999999999999,1.0252242280934374
0,35,Poor,1,1.9949999999999999,0.5526404157065834
0,36,Poor,1,1.9949999999999999,1.0363585691734045
0,37,Poor,0,0.0,2.996700565652933
0,38,Poor,1,1.9949999999999999,1.2856195408253048
0,39,Poor,0,0.0,2.9817828486905134
0,40,Poor,1,1.9949999999999999,0.5905794918528786
0,41,Poor,1,2.205,0.9934371830202093
0,42,Poor,1,2.205,0.7758645130006849
0,43,Poor,1,1.9949999999999999,0.445422535818625
0,44,Poor,0,0.0,2.7833476596555577
0,45,Poor,1,2.205,0.4396016361212922
0,46,Poor,1,2.205,0.5625925008572135
0,47,Poor,0,0.0,3.3621229311231486
0,48,Poor,0,0.0,2.853361227293897
0,49,Poor,0,0.0,2.9158116481038663
0,50,Poor,0,0.0,2.8770059373262846
0,51,Poor,1,1.9949999999999999,0.8369640032881598
0,52,Poor,1,2.205,0.48182634848674377
0,53,Poor,0,0.0,3.048976923401588
0,54,Poor,1,1.9949999999999999,1.4821189039498657
0,55,Poor,1,2.205,0.8820560092797569
0,56,Poor,1,1.9949999999999999,0.6745094624370271
0,57,Poor,1,2.205,1.0844532647191523
0,58,Poor,0,0.0,3.115454407293339
0,59,Poor,0,0.0,3.135011780463794
0,60,Poor,1,1.9949999999999999,1.7840769233708824
0,61,Poor,0,0.0,2.977628761891342
0,62,Poor,1,2.205,1.490628869684469
0,63,Poor,1,1.9949999999999999,0.6144986045114671
0,64,Poor,1,1.9949999999999999,1.3676652189762823
0,65,Poor,1,1.9949999999999999,1.2988196637690994
0,66,Poor,1,1.9949999999999999,0.9297780159935705
0,67,Poor,0,0.0,2.8454711927029797
0,68,Poor,0,0.0,3.2444064922299356
0,69,Poor,1,1.9949999999999999,0.8061935868617442
0,70,Middle,1,5.985,1.1138969846492799
0,71,Middle,1,1.9949999999999999,4.2771255404018325
0,72,Middle,2,4.2,2.4216064299085938
0,73,Middle,1,1.9949999999999999,4.655177955568674
0,74,Middle,1,1.9949999999999999,4.668026645516861
0,75,Middle,1,5.985,0.8866193801576365
0,76,Middle,1,5.985,0.4990985006363058
0,77,Middle,1,1.9949999999999999,3.212683218348504
0,78,Middle,1,5.985,2.1805323395869474
0,79,Middle,0,0.0,6.835921054243659
0,80,Middle,0,0.0,6.137038920722078
0,81,Middle,0,0.0,7.00142047553926
0,82,Middle,2,3.9899999999999998,3.810858049505999
0,83,Middle,1,1.9949999999999999,4.722477494387878
0,84,Middle,2,4.2,2.266858950972013
0,85,Middle,1,2.205,5.170891407742918
0,86,Middle,0,0.0,5.296802880040796
0,87,Middle,1,1.9949999999999999,4.224665955678909
0,88,Middle,2,4.2,4.416710407022133
0,89,Middle,2,4.2,1.4704192050312639
0,90,Rich,2,4.2,7.278018789976838
0,91,Rich,2,4.2,5.392198922684011
0,92,Rich,0,0.0,11.215204052589513
0,93,Rich,0,0.0,10.503521023957262
0,94,Rich,2,7.98,1.9590478879914104
0,95,Rich,0,0.0,10.217960081805087
0,96,Rich,1,1.9949999999999999,8.418496424219567
0,97,Rich,3,10.185,1.1572688220103018
0,98,Rich,1,1.9949999999999999,5.570653259603267
0,99,Rich,2,7.98,2.3334919683654824
0,0,Poor,1,1.8952499999999999,0.960318251059932
0,1,Poor,1,1.9949999999999999,0.8852708223662409
0,2,Poor,0,0.0,3.135343130364019
0,3,Poor,1,1.8952499999999999,1.3786148916286125
0,4,Poor,1,2.205,1.0877620011803102
0,5,Poor,0,0.0,2.9146614930741417
0,6,Poor,0,0.0,2.876395471873083
0,7,Poor,1,1.8952499999999999,0.9925316124740409
0,8,Poor,0,0.0,2.825432787799515
0,9,Poor,1,2.205,1.3241456301569263
0,10,Poor,1,1.9949999999999999,1.227214128502703
0,11,Poor,1,1.9949999999999999,1.1236264915375724
0,12,Poor,1,1.9949999999999999,1.0952764356859837
0,13,Poor,1,1.8952499999999999,1.5965474768877828
0,14,Poor,1,1.9949999999999999,0.6759514596639222
0,15,Poor,0,0.0,2.927196380668636
0,16,Poor,1,2.205,0.6167959463502317
0,17,Poor,0,0.0,3.150836988467887
0,18,Poor,0,0.0,2.691883699245244
0,19,Poor,0,0.0,2.9619399760432135
0,20,Poor,0,0.0,2.3195018956372473
0,21,Poor,1,2.205,1.112906580814676
0,22,Poor,0,0.0,3.077269701963367
