delta,schedule,family,flat,scheduled,gain_pct,ci_lo_pct,ci_hi_pct
0.0,cycle 4wk @0.90x / 2wk @1.20x,cyclic,43.31423863636367,35.33952790404041,-18.41129149071141,-19.264533076392397,-17.558049905030426
0.0,cycle 4wk @0.80x / 4wk @1.10x,cyclic,43.31423863636367,34.92208661616163,-19.375042213385605,-20.11889430402073,-18.63119012275048
0.0,cycle 4wk @0.80x / 4wk @1.20x,cyclic,43.31423863636367,30.687948484848484,-29.150437705985706,-30.22054825939898,-28.080327152572426
0.0,cycle 4wk @0.90x / 4wk @1.10x,cyclic,43.31423863636367,38.53549545454546,-11.03273041905968,-11.73998602689254,-10.325474811226822
0.0,cycle 4wk @0.90x / 4wk @1.20x,cyclic,43.31423863636367,34.095369444444444,-21.283692111765966,-22.295828906726374,-20.271555316805557
0.0,cycle 4wk @0.80x / 8wk @1.10x,cyclic,43.31423863636367,36.353623232323244,-16.070039837192844,-16.843880893600467,-15.296198780785225
0.0,cycle 4wk @0.80x / 8wk @1.20x,cyclic,43.31423863636367,31.286221717171717,-27.76919853115934,-28.95518216693127,-26.583214895387403
0.0,cycle 4wk @0.90x / 8wk @1.10x,cyclic,43.31423863636367,38.809443181818196,-10.400264662077078,-11.172901513478395,-9.62762781067576
0.0,cycle 4wk @0.90x / 8wk @1.20x,cyclic,43.31423863636367,33.55563914141414,-22.52977266177056,-23.70504524860723,-21.35450007493389
0.25,invest 8wk @0.80x -> 1.00x,one-shot,43.39872727272731,43.07899797979801,-0.7367250447692666,-0.9322008474402127,-0.5412492420983207
0.25,invest 8wk @0.80x -> 1.10x,one-shot,43.39872727272731,38.86592272727275,-10.444556396710427,-11.352642779489596,-9.536470013931257
0.25,invest 8wk @0.80x -> 1.20x,one-shot,43.39872727272731,31.490031313131315,-27.440196309811306,-28.744400192930897,-26.13599242669171
0.25,invest 8wk @0.90x -> 1.00x,one-shot,43.39872727272731,43.531460353535394,0.30584556080171904,0.15184604046105557,0.45984508114238254
0.25,invest 8wk @0.90x -> 1.10x,one-shot,43.39872727272731,39.311747222222245,-9.417280891261083,-10.318853075597982,-8.515708706924181
0.25,invest 8wk @0.90x -> 1.20x,one-shot,43.39872727272731,31.980052020202024,-26.31108322778171,-27.615541313337506,-25.006625142225918
0.25,invest 16wk @0.80x -> 1.00x,one-shot,43.39872727272731,42.20512045454549,-2.750326779587165,-3.0706310604844576,-2.430022498689872
0.25,invest 16wk @0.80x -> 1.10x,one-shot,43.39872727272731,38.66402335858588,-10.909775958146156,-11.762061916245512,-10.0574900000468
0.25,invest 16wk @0.80x -> 1.20x,one-shot,43.39872727272731,32.2852,-25.607956663999403,-26.834089554447527,-24.381823773551282
0.25,invest 16wk @0.90x -> 1.00x,one-shot,43.39872727272731,43.43640833333337,0.08682526648595978,-0.16923201654692124,0.34288254951884084
0.25,invest 16wk @0.90x -> 1.10x,one-shot,43.39872727272731,39.91636111111113,-8.02412047646513,-8.868684839010216,-7.179556113920047
0.25,invest 16wk @0.90x -> 1.20x,one-shot,43.39872727272731,33.58937803030303,-22.602850034702918,-23.785493618667726,-21.420206450738107
0.25,cycle 2wk @0.80x / 2wk @1.10x,cyclic,43.39872727272731,35.83488573232326,-17.428717420377755,-18.219566491633664,-16.637868349121838
0.25,cycle 2wk @0.80x / 2wk @1.20x,cyclic,43.39872727272731,31.14524646464646,-28.234654742470273,-29.400343658657434,-27.068965826283108
0.25,cycle 2wk @0.90x / 2wk @1.10x,cyclic,43.39872727272731,38.76530227272728,-10.676407561176934,-11.448279115033264,-9.904536007320603
0.25,cycle 2wk @0.90x / 2wk @1.20x,cyclic,43.39872727272731,33.82663358585859,-22.056162215807714,-23.192511923137747,-20.91981250847768
0.25,cycle 2wk @0.80x / 4wk @1.10x,cyclic,43.39872727272731,36.79285757575759,-15.22134429301797,-16.08469473042314,-14.357993855612797
0.25,cycle 2wk @0.80x / 4wk @1.20x,cyclic,43.39872727272731,30.82951565656565,-28.96216641832354,-30.168025944035083,-27.756306892612002
0.25,cycle 2wk @0.90x / 4wk @1.10x,cyclic,43.39872727272731,38.46971161616163,-11.3575119970469,-12.225203372949158,-10.489820621144643
0.25,cycle 2wk @0.90x / 4wk @1.20x,cyclic,43.39872727272731,32.29137992424242,-25.59371678962801,-26.80620768960712,-24.38122588964891
0.25,cycle 2wk @0.80x / 8wk @1.10x,cyclic,43.39872727272731,37.41546590909093,-13.786720808737602,-14.684695351401917,-12.888746266073287
0.25,cycle 2wk @0.80x / 8wk @1.20x,cyclic,43.39872727272731,30.5112803030303,-29.69544910547584,-31.0253751088015,-28.36552310215018
0.25,cycle 2wk @0.90x / 8wk @1.10x,cyclic,43.39872727272731,38.42902323232325,-11.451266782948082,-12.328741418824627,-10.573792147071535
0.25,cycle 2wk @0.90x / 8wk @1.20x,cyclic,43.39872727272731,31.363065656565652,-27.732752484944683,-29.0110459648664,-26.45445900502297
0.25,cycle 4wk @0.80x / 2wk @1.10x,cyclic,43.39872727272731,35.468690277777796,-18.272510493488408,-19.02031543315592,-17.524705553820894
0.25,cycle 4wk @0.80x / 2wk @1.20x,cyclic,43.39872727272731,32.133337878787884,-25.95787964735738,-26.931216544169306,-24.984542750545458
0.25,cycle 4wk @0.90x / 2wk @1.10x,cyclic,43.39872727272731,39.45478080808083,-9.087700751825825,-9.738717308077574,-8.436684195574072
0.25,cycle 4wk @0.90x / 2wk @1.20x,cyclic,43.39872727272731,35.92771616161617,-17.214816149242424,-18.101939425505446,-16.3276928729794
0.25,cycle 4wk @0.80x / 4wk @1.10x,cyclic,43.39872727272731,36.04573030303032,-16.942886189931578,-17.737935406091456,-16.1478369737717
0.25,cycle 4wk @0.80x / 4wk @1.20x,cyclic,43.39872727272731,31.262749494949496,-27.963902493067614,-29.039494817569057,-26.888310168566175
0.25,cycle 4wk @0.90x / 4wk @1.10x,cyclic,43.39872727272731,38.849088131313145,-10.483346925874585,-11.233567704012065,-9.733126147737105
0.25,cycle 4wk @0.90x / 4wk @1.20x,cyclic,43.39872727272731,33.90110707070707,-21.884559292107948,-22.902422069018062,-20.86669651519784
0.25,cycle 4wk @0.80x / 8wk @1.10x,cyclic,43.39872727272731,36.683505303030316,-15.4733154442457,-16.309746844734235,-14.636884043757167
0.25,cycle 4wk @0.80x / 8wk @1.20x,cyclic,43.39872727272731,30.872760606060606,-28.862520755391564,-30.0469441596135,-27.67809735116963
0.25,cycle 4wk @0.90x / 8wk @1.10x,cyclic,43.39872727272731,38.49986300505052,-11.288036713360794,-12.112755303068901,-10.463318123652686
0.25,cycle 4wk @0.90x / 8wk @1.20x,cyclic,43.39872727272731,32.54866767676767,-25.000870481236532,-26.141091033029006,-23.86064992944405
