seed,buyer_id,buyer_class,n_purchases,total_spent,budget_remaining
2,58,Homogeneous,1,3.0,2.0
2,59,Homogeneous,0,0.0,5.0
2,60,Homogeneous,1,3.0,2.0
2,61,Homogeneous,1,3.0,2.0
2,62,Homogeneous,1,3.0,2.0
2,63,Homogeneous,1,3.0,2.0
2,64,Homogeneous,0,0.0,5.0
2,65,Homogeneous,1,3.0,2.0
2,66,Homogeneous,1,3.0,2.0
2,67,Homogeneous,0,0.0,5.0
2,68,Homogeneous,1,3.0,2.0
2,69,Homogeneous,0,0.0,5.0
2,70,Homogeneous,0,0.0,5.0
2,71,Homogeneous,1,3.0,2.0
2,72,Homogeneous,1,3.0,2.0
2,73,Homogeneous,1,3.0,2.0
2,74,Homogeneous,1,3.0,2.0
2,75,Homogeneous,1,3.0,2.0
2,76,Homogeneous,1,3.0,2.0
2,77,Homogeneous,0,0.0,5.0
2,78,Homogeneous,0,0.0,5.0
2,79,Homogeneous,0,0.0,5.0
3,0,Homogeneous,1,3.0,2.0
3,1,Homogeneous,1,3.0,2.0
3,2,Homogeneous,1,3.0,2.0
3,3,Homogeneous,1,3.0,2.0
3,4,Homogeneous,1,3.0,2.0
3,5,Homogeneous,1,3.0,2.0
3,6,Homogeneous,1,3.0,2.0
3,7,Homogeneous,1,3.0,2.0
3,8,Homogeneous,0,0.0,5.0
3,9,Homogeneous,1,3.0,2.0
3,10,Homogeneous,1,3.0,2.0
3,11,Homogeneous,1,3.0,2.0
3,12,Homogeneous,1,3.0,2.0
3,13,Homogeneous,1,3.0,2.0
3,14,Homogeneous,1,3.0,2.0
3,15,Homogeneous,1,3.0,2.0
3,16,Homogeneous,1,3.0,2.0
3,17,Homogeneous,1,3.0,2.0
3,18,Homogeneous,1,3.0,2.0
3,19,Homogeneous,1,3.0,2.0
3,20,Homogeneous,1,3.0,2.0
3,21,Homogeneous,1,3.0,2.0
3,22,Homogeneous,0,0.0,5.0
3,23,Homogeneous,1,3.0,2.0
3,24,Homogeneous,0,0.0,5.0
3,25,Homogeneous,0,0.0,5.0
